title,date,identifier,relevance,tags,text_length,n_depths,depths_m,depth_contexts,locations,primary_lat,primary_lon
Oudheidkundige dienst,1929/07/25,http://resolver.kb.nl/resolve?urn=MMKB19:000441071:mpeg21:a00006:ocr,3,ARCHAEOLOGY,443,0,,,,,
OUDHEIDKUNDIG ONDERZOEK,1936/04/24,http://resolver.kb.nl/resolve?urn=MMKB27:017942040:mpeg21:a00148:ocr,3,ARCHAEOLOGY,459,0,,,Batavia,-6.17,106.83
Oudheidkundige dienst.,1936/04/16,http://resolver.kb.nl/resolve?urn=MMKB19:000463089:mpeg21:a00063:ocr,3,ARCHAEOLOGY,1801,0,,,,,
Praehistorisch onderzoek.,1928/01/12,http://resolver.kb.nl/resolve?urn=MMKB19:002771013:mpeg21:a00016:ocr,3,PREHISTORIC,802,0,,,Madioen,-7.63,111.52
Praehistorisch onderzoek,1938/04/14,http://resolver.kb.nl/resolve?urn=ddd:010017771:mpeg21:a0256:ocr,3,PREHISTORIC,1648,0,,,Modjokerto; Bandoeng,-7.47,112.43
EXPEDITIE-VONDSTEN. Praehistorisch onderzoek in Groote Oost.,1939/10/19,http://resolver.kb.nl/resolve?urn=ddd:010285755:mpeg21:a0072:ocr,3,PREHISTORIC,2463,0,,,Batavia,-6.17,106.83
NIEUWE OPGRAVINGEN.,1933/04/29,http://resolver.kb.nl/resolve?urn=MMKB19:000459266:mpeg21:a00001:ocr,3,ARCHAEOLOGY,1447,0,,,Solo,-7.57,110.82
Praehistorische mens in Zuid-Afrika,1953/01/06,http://resolver.kb.nl/resolve?urn=MMNHA03:179269004:mpeg21:a00087:ocr,3,PREHISTORIC,1579,0,,,,,
Wetenschap en Techniek. Oudheidkundige relaties met Siam.,1927/07/29,http://resolver.kb.nl/resolve?urn=ddd:011041147:mpeg21:a0126:ocr,3,ARCHAEOLOGY,5766,0,,,Djokja; Prambanan; Boroboedoer,-7.8,110.36
NED.-INDIË Praehistorisch Onderzoek Van twee Amerikanen en een Franschman,1938/04/07,http://resolver.kb.nl/resolve?urn=ddd:010226651:mpeg21:a0188:ocr,3,PREHISTORIC,2543,0,,,Modjokerto; Bandoeng,-7.47,112.43
